parsed_name,organization,contributor_id,type,name
rodney macdonald,Canada-Nova Scotia Offshore Petroleum Board,12311,Govenor In Council Appointments,"MacDonald, Rodney"
wayne macintosh,Canada Lands Company Limited,12516,Govenor In Council Appointments,"MacIntosh, Wayne"
robert manning,Canada Revenue Agency,12072,Govenor In Council Appointments,"Manning, Robert"
todd mccarthy,Canada Revenue Agency,12439,Govenor In Council Appointments,"McCarthy, Todd"
robert mcculloch,Natural Sciences and Engineering Research Council,12441,Govenor In Council Appointments,"McCulloch, Robert"
john mcdougall,National Research Council of Canada,12463,Govenor In Council Appointments,"McDougall, John"
donald mcfetridge,Competition Tribunal,12464,Govenor In Council Appointments,"McFetridge, Donald"
james mcilroy,Internal Trade Agreement: Dispute Resolution Roster of Panellists,12053,Govenor In Council Appointments,"McIlroy, James"
james mckane,Great Lakes Fishery Commission,12074,Govenor In Council Appointments,"McKane, James"
james miller,Historic Sites and Monuments Board of Canada,12492,Govenor In Council Appointments,"Miller, James"
brian mitchell,Canadian Broadcasting Corporation,12216,Govenor In Council Appointments,"Mitchell, Brian"
keith montgomery,Competition Tribunal,12501,Govenor In Council Appointments,"Montgomery, Keith"
sandy morris,Immigration and Refugee Board,12140,Govenor In Council Appointments,"Morris, Sandy"
andr plourde,Canada Mortgage and Housing Corporation,8851,Govenor In Council Appointments,"Plourde, André"
william sheffield,Canada Post Corporation,12778,Govenor In Council Appointments,"Sheffield, William"
evan siddall,Canada Mortgage and Housing Corporation,13437,Govenor In Council Appointments,"Siddall, Evan"
prem singhmar,Canada Foundation for Innovation,13254,Govenor In Council Appointments,"Singhmar, Prem"
gordon stovel,Canada Foundation for Innovation,13289,Govenor In Council Appointments,"Stovel, Gordon"
anna tartaglia,Buffalo and Fort Erie Public Bridge Authority,13323,Govenor In Council Appointments,"Tartaglia, Anna"
david thomas,Canadian Human Rights Tribunal,13330,Govenor In Council Appointments,"Thomas, David"
michael tims,National Gallery of Canada,13367,Govenor In Council Appointments,"Tims, Michael"
margaret vandenberg,Canadian Museum for Human Rights,13424,Govenor In Council Appointments,"Vandenberg, Margaret"
gordon walker,International Joint Commission,13456,Govenor In Council Appointments,"Walker, Gordon"
harriet walker,National Gallery of Canada,13242,Govenor In Council Appointments,"Walker, Harriet"
robert wilband,Canadian Museum of History,13166,Govenor In Council Appointments,"Wilband, Robert"
michael wilson,Canadian Institutes of Health Research,13307,Govenor In Council Appointments,"Wilson, Michael"
dena bryan,Canadian Human Rights Tribunal,13310,Govenor In Council Appointments,"Bryan,Dena"
douglas smith,Great Lakes Pilotage Authority,13529,Govenor In Council Appointments,"Smith, Douglas"
scott player,Canadian Commercial Corporation,13576,Govenor In Council Appointments,"Player, Scott"
geoffrey machum,Halifax Port Authority,13311,Govenor In Council Appointments,"Machum, Geoffrey"
mark dwor,Canada Revenue Agency,227,Govenor In Council Appointments,"Dwor, Mark"
paul baay,National Gallery of Canada,13066,Govenor In Council Appointments,"Baay, Paul"
judy mintz,Canadian Human Rights Commission,13017,Govenor In Council Appointments,"Mintz, Judy"
virginia mclaughlin,National Museum of Science and Technology,13103,Govenor In Council Appointments,"McLaughlin, Virginia"
kevin smith,Canada Foundation for Innovation,13857,Govenor In Council Appointments,"Smith, Kevin"
richard daw,Canada Revenue Agency,14159,Govenor In Council Appointments,"Daw, Richard"
edward boyd,Canadian Broadcasting Corporation,13889,Govenor In Council Appointments,"Boyd, Edward"
kelly serbu,Canadian Human Rights Commission,14031,Govenor In Council Appointments,"Serbu, Kelly"
james fleck,Canadian Museum of History,13896,Govenor In Council Appointments,"Fleck, James"
john hachey,Canadian Museum of Immigration at Pier 21,14134,Govenor In Council Appointments,"Hachey, John"
peter klohn,Canadian Securities Regulation Regime Transition Office,14035,Govenor In Council Appointments,"Klohn, Peter"
elio luongo,Competition Tribunal,14038,Govenor In Council Appointments,"Luongo, Elio"
james doody,Marine Atlantic Inc.,13915,Govenor In Council Appointments,"Doody, James"
john henley,Marine Atlantic Inc.,13874,Govenor In Council Appointments,"Henley, John"
susan glass,National Arts Centre Corporation,13982,Govenor In Council Appointments,"Glass, Susan"
peter currie,Atomic Energy of Canada Limited,13947,Govenor In Council Appointments,"Currie, Peter"
samuel duboc,Business Development Bank of Canada,14025,Govenor In Council Appointments,"Duboc, Samuel"
bryan davies,Canada Deposit Insurance Corporation,244,Govenor In Council Appointments,"Davies, Bryan"
gilles morin,Laurentian Pilotage Authority,14053,Govenor In Council Appointments,"Morin, Gilles"
jack williams,Arbitration Board (Inuvialuit),14149,Govenor In Council Appointments,"Williams, Jack"
james hall,Atomic Energy of Canada Limited,14181,Govenor In Council Appointments,"Hall, James"
gregory josey,Atomic Energy of Canada Limited,247,Govenor In Council Appointments,"Josey, Gregory"
bob hamilton,"Atomic Energy of Canada Limited,æEnergy Supplies Allocation Board,æNorthern Pipeline Agency,Northern Pipeline Agency - Federal-Provincial Consultative Council,æPublic Service Pension Advisory Committee",14433,Govenor In Council Appointments,"Hamilton, Bob"
norman betts,Bank of Canada,14325,Govenor In Council Appointments,"Betts, Norman"
alan borger,Bank of Canada,14498,Govenor In Council Appointments,"Borger, Alan"
phyllis clark,Bank of Canada,14335,Govenor In Council Appointments,"Clark, Phyllis"
colin dodds,Bank of Canada,14440,Govenor In Council Appointments,"Dodds, Colin"
claire kennedy,Bank of Canada,14366,Govenor In Council Appointments,"Kennedy, Claire"
derek key,Bank of Canada,14385,Govenor In Council Appointments,"Key, Derek"
hassan khosrowshahi,Bank of Canada,14405,Govenor In Council Appointments,"Khosrowshahi, Hassan"
martin sullivan,Bank of Canada,252,Govenor In Council Appointments,"Sullivan, Martin"
barry kyle,Belledune Port Authority,52,Govenor In Council Appointments,"Kyle, Barry"
rocco vacca,Buffalo and Fort Erie Public Bridge Authority,14550,Govenor In Council Appointments,"Vacca, Rocco"
eric boyko,Business Development Bank of Canada,14580,Govenor In Council Appointments,"Boyko, Eric"
michael denham,Business Development Bank of Canada,14593,Govenor In Council Appointments,"Denham, Michael"
shahir guindi,Business Development Bank of Canada,14595,Govenor In Council Appointments,"Guindi, Shahir"
donald buckingham,Canada Agricultural Review Tribunal,263,Govenor In Council Appointments,"Buckingham, Donald"
pierre lassonde,Canada Council for the Arts,15314,Govenor In Council Appointments,"Lassonde, Pierre"
david mckay,Canada Council for the Arts,15533,Govenor In Council Appointments,"McKay, David"
cheryl sharfe,Canada Council for the Arts,15432,Govenor In Council Appointments,"Sharfe, Cheryl"
george burger,Canada Deposit Insurance Corporation,281,Govenor In Council Appointments,"Burger, George"
susan hicks,Canada Deposit Insurance Corporation,15609,Govenor In Council Appointments,"Hicks, Susan"
michael mackasey,Canada Development Investment Corporation,15233,Govenor In Council Appointments,"Mackasey, Michael"
sandra rosch,Canada Development Investment Corporation,15619,Govenor In Council Appointments,"Rosch, Sandra"
nicholas wemyss,Canada Development Investment Corporation,15107,Govenor In Council Appointments,"Wemyss, Nicholas"
lynda brown,Canada Foundation for Innovation,14884,Govenor In Council Appointments,"Brown, Lynda"
john bradlow,Canada Foundation for Sustainable Development Technology,15166,Govenor In Council Appointments,"Bradlow, John"
jason lee,Canada Foundation for Sustainable Development Technology,14891,Govenor In Council Appointments,"Lee, Jason"
gary lunn,Canada Foundation for Sustainable Development Technology,15423,Govenor In Council Appointments,"Lunn, Gary"
daniel charbonneau,Canada Industrial Relations Board,15216,Govenor In Council Appointments,"Charbonneau, Daniel"
graham clarke,Canada Industrial Relations Board,15628,Govenor In Council Appointments,"Clarke, Graham"
donald woodley,Canada Post Corporation,15256,Govenor In Council Appointments,"Woodley, Donald"
myles bourke,Canada Revenue Agency,15491,Govenor In Council Appointments,"Bourke, Myles"
richard thorpe,Canada Revenue Agency,15641,Govenor In Council Appointments,"Thorpe, Richard"
cynthia hickman,Canada-Newfoundland and Labrador Offshore Petroleum Board,15142,Govenor In Council Appointments,"Hickman, Cynthia"
conrad sullivan,Canada-Newfoundland and Labrador Offshore Petroleum Board,15644,Govenor In Council Appointments,"Sullivan, Conrad"
scott tessier,Canada-Newfoundland and Labrador Offshore Petroleum Board,15264,Govenor In Council Appointments,"Tessier, Scott"
paul benoit,Canadian Air Transport Security Authority,14990,Govenor In Council Appointments,"Benoit, Paul"
dora koop,Canadian Air Transport Security Authority,14991,Govenor In Council Appointments,"Koop, Dora"
angus watt,Canadian Air Transport Security Authority,15753,Govenor In Council Appointments,"Watt, Angus"
sonja chong,Canadian Broadcasting Corporation,15788,Govenor In Council Appointments,"Chong, Sonja"
robert jeffery,Canadian Broadcasting Corporation,15757,Govenor In Council Appointments,"Jeffery, Robert"
hubert lacroix,Canadian Broadcasting Corporation,15809,Govenor In Council Appointments,"Lacroix, Hubert"
marni larkin,Canadian Broadcasting Corporation,10759,Govenor In Council Appointments,"Larkin, Marni"
marlie oden,Canadian Broadcasting Corporation,288,Govenor In Council Appointments,"Oden, Marlie"
rmi racine,Canadian Broadcasting Corporation,15678,Govenor In Council Appointments,"Racine, Rémi"
john beckett,Canadian Centre for Occupational Health and Safety,15867,Govenor In Council Appointments,"Beckett, John"
marcel pouliot,Canadian Centre for Occupational Health and Safety,16042,Govenor In Council Appointments,"Pouliot, Marcel"
daniela bassan,Canadian Commercial Corporation,16058,Govenor In Council Appointments,"Bassan, Daniela"
ray castelli,Canadian Commercial Corporation,16059,Govenor In Council Appointments,"Castelli, Ray"
claude robillard,Canadian Commercial Corporation,16029,Govenor In Council Appointments,"Robillard, Claude"
derrick rowe,Canadian Commercial Corporation,16031,Govenor In Council Appointments,"Rowe, Derrick"
andrew saxton,Canadian Commercial Corporation,10798,Govenor In Council Appointments,"Saxton, Andrew"
nicole verkindt,Canadian Commercial Corporation,16110,Govenor In Council Appointments,"Verkindt, Nicole"
martin gagn,"Canadian Commercial Corporation,æIndependent Review Panel for Defence Acquisition",16103,Govenor In Council Appointments,"Gagné, Martin"
alistair johnston,Canadian Dairy Commission,10775,Govenor In Council Appointments,"Johnston, Alistair"
murdoch mackay,Canadian Grain Commission,16209,Govenor In Council Appointments,"MacKay, Murdoch"
john nightingale,Canadian High Arctic Research Station,16303,Govenor In Council Appointments,"Nightingale, John"
david scott,Canadian High Arctic Research Station,16333,Govenor In Council Appointments,"Scott, David"
olga luftig,Canadian Human Rights Tribunal,16271,Govenor In Council Appointments,"Luftig, Olga"
lawrence jardine,Canadian Institutes of Health Research,16451,Govenor In Council Appointments,"Jardine, Lawrence"
lori turik,Canadian Institutes of Health Research,16652,Govenor In Council Appointments,"Turik, Lori"
peter burn,Canadian International Trade Tribunal,16793,Govenor In Council Appointments,"Burn, Peter"
ann penner,Canadian International Trade Tribunal,16880,Govenor In Council Appointments,"Penner, Ann"
daniel petit,Canadian International Trade Tribunal,316,Govenor In Council Appointments,"Petit, Daniel"
gail asper,Canadian Museum for Human Rights,16982,Govenor In Council Appointments,"Asper, Gail"
deena granot,Canadian Museum for Human Rights,8646,Govenor In Council Appointments,"Granot, Deena"
eric hughes,Canadian Museum for Human Rights,16988,Govenor In Council Appointments,"Hughes, Eric"
wilton littlechild,"Canadian Museum for Human Rights,æIndian Residential Schools Truth and Reconciliation Commission",17030,Govenor In Council Appointments,"Littlechild, Wilton"
michael bliss,Canadian Museum of History,324,Govenor In Council Appointments,"Bliss, Michael"
claude thibault,Canadian Museum of History,18203,Govenor In Council Appointments,"Thibault, Claude"
richard leblanc,Canadian Museum of Immigration at Pier 21,18256,Govenor In Council Appointments,"LeBlanc, Richard"
byron neiles,Canadian Museum of Nature,18498,Govenor In Council Appointments,"Neiles, Byron"
nicholas offord,Canadian Museum of Nature,18355,Govenor In Council Appointments,"Offord, Nicholas"
rumina velshi,Canadian Nuclear Safety Commission,18362,Govenor In Council Appointments,"Velshi, Rumina"
albert lo,Canadian Race Relations Foundation,391,Govenor In Council Appointments,"Lo, Albert"
raj shoan,Canadian Radio-television and Telecommunications Commission,18731,Govenor In Council Appointments,"Shoan, Raj"
peter brown,Canadian Securities Regulation Regime Transition Office,19251,Govenor In Council Appointments,"Brown, Peter"
james hinds,Canadian Securities Regulation Regime Transition Office,18539,Govenor In Council Appointments,"Hinds, James"
dale linn,Canadian Securities Regulation Regime Transition Office,18992,Govenor In Council Appointments,"Linn, Dale"
michel coulombe,Canadian Security Intelligence Service,19041,Govenor In Council Appointments,"Coulombe, Michel"
olga ilich,Canadian Tourism Commission,18223,Govenor In Council Appointments,"Ilich, Olga"
dragan matovic,Canadian Tourism Commission,19090,Govenor In Council Appointments,"Matovic, Dragan"
james mccrae,Citizenship Commission,18219,Govenor In Council Appointments,"McCrae, James"
trang nguyen,Citizenship Commission,19329,Govenor In Council Appointments,"Nguyen, Trang"
andrea paine,Citizenship Commission,413,Govenor In Council Appointments,"Paine, Andrea"
nancy siew,Citizenship Commission,19433,Govenor In Council Appointments,"Siew, Nancy"
wojciech sniegowski,Citizenship Commission,19443,Govenor In Council Appointments,"Sniegowski, Wojciech"
albert wong,Citizenship Commission,19520,Govenor In Council Appointments,"Wong, Albert"
richard saunders,Cree-Naskapi Commission,19844,Govenor In Council Appointments,"Saunders, Richard"
john boyd,Defence Construction (1951) Limited,19868,Govenor In Council Appointments,"Boyd, John"
robert presser,Defence Construction (1951) Limited,19973,Govenor In Council Appointments,"Presser, Robert"
jacques boivin,Export Development Canada,19976,Govenor In Council Appointments,"Boivin, Jacques"
vikram khurana,Export Development Canada,20092,Govenor In Council Appointments,"Khurana, Vikram"
elliot lifson,Export Development Canada,20597,Govenor In Council Appointments,"Lifson, Elliot"
robert mcleese,Export Development Canada,20610,Govenor In Council Appointments,"McLeese, Robert"
jason stefanson,Export Development Canada,20944,Govenor In Council Appointments,"Stefanson, Jason"
jeffrey steiner,Export Development Canada,20636,Govenor In Council Appointments,"Steiner, Jeffrey"
donald bettle,Farm Credit Canada,20620,Govenor In Council Appointments,"Bettle, Donald"
sylvie cloutier,Farm Credit Canada,20737,Govenor In Council Appointments,"Cloutier, Sylvie"
dale johnston,Farm Credit Canada,20846,Govenor In Council Appointments,"Johnston, Dale"
collin may,Farm Credit Canada,20847,Govenor In Council Appointments,"May, Collin"
jamie muir,Farm Credit Canada,20861,Govenor In Council Appointments,"Muir, Jamie"
jason skinner,Farm Credit Canada,20605,Govenor In Council Appointments,"Skinner, Jason"
deborah tropea,Federal Bridge Corporation Limited (The),21654,Govenor In Council Appointments,"Tropea, Deborah"
jane rooney,Financial Consumer Agency of Canada,21591,Govenor In Council Appointments,"Rooney, Jane"
harold calla,First Nations Financial Management Board,21415,Govenor In Council Appointments,"Calla, Harold"
gary nott,First Nations Financial Management Board,21091,Govenor In Council Appointments,"Nott, Gary"
barrie robb,First Nations Financial Management Board,21490,Govenor In Council Appointments,"Robb, Barrie"
aditya jha,"First Nations Financial Management Board,æNational Capital Commission",21185,Govenor In Council Appointments,"Jha, Aditya"
lester lafond,First Nations Tax Commission,21202,Govenor In Council Appointments,"Lafond, Lester"
donald salkeld,Freshwater Fish Marketing Corporation,21003,Govenor In Council Appointments,"Salkeld, Donald"
trevor sprague,Freshwater Fish Marketing Corporation,460,Govenor In Council Appointments,"Sprague, Trevor"
marielle wharton,Freshwater Fish Marketing Corporation,21400,Govenor In Council Appointments,"Wharton, Marielle"
terry geddes,Great Lakes Pilotage Authority,20969,Govenor In Council Appointments,"Geddes, Terry"
michael pratt,Great Lakes Pilotage Authority,21608,Govenor In Council Appointments,"Pratt, Michael"
john ashton,Historic Sites and Monuments Board of Canada,21641,Govenor In Council Appointments,"Ashton, John"
lorne wheeler,Historic Sites and Monuments Board of Canada,21452,Govenor In Council Appointments,"Wheeler, Lorne"
atam uppal,Immigration and Refugee Board,22389,Govenor In Council Appointments,"Uppal, Atam"
malcolm brown,"International Bank for Reconstruction and Development,æMultilateral Investment Guarantee Agency",22479,Govenor In Council Appointments,"Brown, Malcolm"
scott gilmore,International Development Research Centre,22521,Govenor In Council Appointments,"Gilmore, Scott"
gordon houlden,International Development Research Centre,22439,Govenor In Council Appointments,"Houlden, Gordon"
monte solberg,International Development Research Centre,22502,Govenor In Council Appointments,"Solberg, Monte"
david boyes,International Pacific Halibut Commission,22773,Govenor In Council Appointments,"Boyes, David"
serge martel,Jacques Cartier and Champlain Bridges Incorporated (The),22926,Govenor In Council Appointments,"Martel, Serge"
dwight rudderham,Marine Atlantic Inc.,23132,Govenor In Council Appointments,"Rudderham, Dwight"
troy desouza,Military Police Complaints Commission,23252,Govenor In Council Appointments,"DeSouza, Troy"
joe oliver,Multilateral Investment Guarantee Agency,23274,Govenor In Council Appointments,"Oliver, Joe"
david crate,National Aboriginal Economic Development Board,23296,Govenor In Council Appointments,"Crate, David"
terrance paul,National Aboriginal Economic Development Board,23317,Govenor In Council Appointments,"Paul, Terrance"
ruth williams,National Aboriginal Economic Development Board,23328,Govenor In Council Appointments,"Williams, Ruth"
lisa macdonald,National Capital Commission,583,Govenor In Council Appointments,"MacDonald, Lisa"
kay stanley,National Capital Commission,23836,Govenor In Council Appointments,"Stanley, Kay"
basil stewart,National Capital Commission,23956,Govenor In Council Appointments,"Stewart, Basil"
jacques gauthier,National Energy Board,23866,Govenor In Council Appointments,"Gauthier, Jacques"
roland george,National Energy Board,23867,Govenor In Council Appointments,"George, Roland"
david hamilton,National Energy Board,23868,Govenor In Council Appointments,"Hamilton, David"
michael richmond,National Energy Board,23959,Govenor In Council Appointments,"Richmond, Michael"
ron wallace,National Energy Board,23966,Govenor In Council Appointments,"Wallace, Ron"
peter watson,National Energy Board,23968,Govenor In Council Appointments,"Watson, Peter"
louis puddister,National Film Board,23924,Govenor In Council Appointments,"Puddister, Louis"
nezhat khosrowshahi,National Gallery of Canada,24035,Govenor In Council Appointments,"Khosrowshahi, Nezhat"
helen johns,National Museum of Science and Technology,24104,Govenor In Council Appointments,"Johns, Helen"
gary polonsky,National Museum of Science and Technology,606,Govenor In Council Appointments,"Polonsky, Gary"
glen schmidt,National Museum of Science and Technology,24380,Govenor In Council Appointments,"Schmidt, Glen"
carolyn cross,National Research Council of Canada,24278,Govenor In Council Appointments,"Cross, Carolyn"
jay josefo,National Research Council of Canada,590,Govenor In Council Appointments,"Josefo, Jay"
olivia butti,National Seniors Council,24508,Govenor In Council Appointments,"Butti, Olivia"
yves beauchamp,Natural Sciences and Engineering Research Council,24375,Govenor In Council Appointments,"Beauchamp, Yves"
robert niven,Natural Sciences and Engineering Research Council,24345,Govenor In Council Appointments,"Niven, Robert"
john weissenberger,Natural Sciences and Engineering Research Council,24516,Govenor In Council Appointments,"Weissenberger, John"
david kritterdlik,Nunavut Wildlife Management Board,24518,Govenor In Council Appointments,"Kritterdlik, David"
william brooks,Office of the Commissioner for Federal Judicial Affairs,24521,Govenor In Council Appointments,"Brooks, William"
jeffrey davidson,Office of the Extractive Sector Corporate Social Responsibility Counsellor,602,Govenor In Council Appointments,"Davidson, Jeffrey"
sherra profit,Office of the Taxpayers' Ombudsman,24661,Govenor In Council Appointments,"Profit, Sherra"
maurice bastarache,Parole Board of Canada,24391,Govenor In Council Appointments,"Bastarache, Maurice"
jacques bouchard,Parole Board of Canada,24594,Govenor In Council Appointments,"Bouchard, Jacques"
pierre cadieux,Parole Board of Canada,24767,Govenor In Council Appointments,"Cadieux, Pierre"
simon chapelle,Parole Board of Canada,24597,Govenor In Council Appointments,"Chapelle, Simon"
suzanne chartrand,Parole Board of Canada,24542,Govenor In Council Appointments,"Chartrand, Suzanne"
alex dantzer,Parole Board of Canada,24545,Govenor In Council Appointments,"Dantzer, Alex"
louise harris,Parole Board of Canada,24828,Govenor In Council Appointments,"Harris, Louise"
stephen johnson,Parole Board of Canada,598,Govenor In Council Appointments,"Johnson, Stephen"
denis jolette,Parole Board of Canada,24851,Govenor In Council Appointments,"Jolette, Denis"
michel lalonde,Parole Board of Canada,24944,Govenor In Council Appointments,"Lalonde, Michel"
guy leblanc,Parole Board of Canada,24960,Govenor In Council Appointments,"LeBlanc, Guy"
robert marshall,Parole Board of Canada,8586,Govenor In Council Appointments,"Marshall, Robert"
gordon mcrae,Parole Board of Canada,25234,Govenor In Council Appointments,"McRae, Gordon"
richard bogoroch,Patented Medicine Prices Review Board,25395,Govenor In Council Appointments,"Bogoroch, Richard"
sandra cawley,Payments in lieu of Taxes Dispute Advisory Panel,25477,Govenor In Council Appointments,"Cawley, Sandra"
michael chandler,Payments in lieu of Taxes Dispute Advisory Panel,25401,Govenor In Council Appointments,"Chandler, Michael"
surinder pal,Payments in lieu of Taxes Dispute Advisory Panel,25591,Govenor In Council Appointments,"Pal, Surinder"
james white,Payments in lieu of Taxes Dispute Advisory Panel,25615,Govenor In Council Appointments,"White, James"
gillian trumper,Port Alberni Port Authority,25687,Govenor In Council Appointments,"Trumper, Gillian"
john beck,PPP Canada Inc.,25719,Govenor In Council Appointments,"Beck, John"
rick byers,PPP Canada Inc.,19,Govenor In Council Appointments,"Byers, Rick"
john mcbride,PPP Canada Inc.,25775,Govenor In Council Appointments,"McBride, John"
cheryl barker,Public Sector Pension Investment Board,25797,Govenor In Council Appointments,"Barker, Cheryl"
garnet garven,Public Sector Pension Investment Board,8715,Govenor In Council Appointments,"Garven, Garnet"
michael mueller,Public Sector Pension Investment Board,26301,Govenor In Council Appointments,"Mueller, Michael"
claude poirier,Public Service Pension Advisory Committee,26976,Govenor In Council Appointments,"Poirier, Claude"
denis bernier,Québec Port Authority,27518,Govenor In Council Appointments,"Bernier, Denis"
pierre rivard,Québec Port Authority,27203,Govenor In Council Appointments,"Rivard, Pierre"
claude rousseau,Québec Port Authority,26684,Govenor In Council Appointments,"Rousseau, Claude"
jozef carnogursky,Renewable Resources Board (Gwich'in),27213,Govenor In Council Appointments,"Carnogursky, Jozef"
kenneth hunt,Renewable Resources Board (Gwich'in),27421,Govenor In Council Appointments,"Hunt, Kenneth"
