"OriginalName","Organizations","Type","CleanName","CleanNameNoMiddle","IsDuplicate",
"Cunningham, Lorraine S.","Pacific Pilotage Authority","Govenor In Council Appointments","Cunningham, Lorraine","Cunningham, Lorraine","n",
"Dawson, Catherine J.","Parole Board of Canada","Govenor In Council Appointments","Dawson, Catherine","Dawson, Catherine","n",
"Derrick, Elmer P.","Prince Rupert Port Authority","Govenor In Council Appointments","Derrick, Elmer","Derrick, Elmer","n",
"Feltham, Glenn D.","Standards Council of Canada","Govenor In Council Appointments","Feltham, Glenn","Feltham, Glenn","n",
"Foster, Julia E.","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Foster, Julia","Foster, Julia","n",
"Fowler, Ian S.","Parole Board of Canada","Govenor In Council Appointments","Fowler, Ian","Fowler, Ian","n",
"Gallini, Nancy T.","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Gallini, Nancy","Gallini, Nancy","n",
"Gaulton, Peter G.","Saint John Port Authority","Govenor In Council Appointments","Gaulton, Peter","Gaulton, Peter","n",
"Gibbs, Robert B.","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Gibbs, Robert","Gibbs, Robert","n",
"Gray, Bryan R.","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Gray, Bryan","Gray, Bryan","n",
"Hall, Leonard M.","Veterans Review and Appeal Board","Govenor In Council Appointments","Hall, Leonard","Hall, Leonard","n",
"Henley, David G.","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","Henley, David","Henley, David","n",
"Hiebert, Jacob H.","Parole Board of Canada","Govenor In Council Appointments","Hiebert, Jacob","Hiebert, Jacob","n",
"Hodgkiss, Pauline B.","Parole Board of Canada","Govenor In Council Appointments","Hodgkiss, Pauline","Hodgkiss, Pauline","n",
"Horcher, Karen A.","Pacific Pilotage Authority","Govenor In Council Appointments","Horcher, Karen","Horcher, Karen","n",
"Hummell, Douglas M.","Parole Board of Canada","Govenor In Council Appointments","Hummell, Douglas","Hummell, Douglas","n",
"Jarmyn, Thomas W.","Veterans Review and Appeal Board","Govenor In Council Appointments","Jarmyn, Thomas","Jarmyn, Thomas","n",
"Jaworski, John G.","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Jaworski, John","Jaworski, John","n",
"Katkin, Steven B.","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","Katkin, Steven","Katkin, Steven","n",
"Kaye, Thomas J.","Parole Board of Canada","Govenor In Council Appointments","Kaye, Thomas","Kaye, Thomas","n",
"Knox, Kenneth W.","Science, Technology and Innovation Council","Govenor In Council Appointments","Knox, Kenneth","Knox, Kenneth","n",
"Kobernick, Carolyn P.","Patented Medicine Prices Review Board","Govenor In Council Appointments","Kobernick, Carolyn","Kobernick, Carolyn","n",
"LaPointe, Joel W.","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","LaPointe, Joel","LaPointe, Joel","n",
"Leard, Jeffrey H.","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Leard, Jeffrey","Leard, Jeffrey","n",
"Leclair, Connie A.","Parole Board of Canada","Govenor In Council Appointments","Leclair, Connie","Leclair, Connie","n",
"Longworth, Thomas J.","Vancouver Fraser Port Authority","Govenor In Council Appointments","Longworth, Thomas","Longworth, Thomas","n",
"MacKinnon, William A.","Public Sector Pension Investment Board","Govenor In Council Appointments","MacKinnon, William","MacKinnon, William","n",
"MacMillan, Mitchell F.","Parole Board of Canada","Govenor In Council Appointments","MacMillan, Mitchell","MacMillan, Mitchell","n",
"MacNab, Elizabeth A.","Transportation Appeal Tribunal of Canada","Govenor In Council Appointments","MacNab, Elizabeth","MacNab, Elizabeth","n",
"Mallory, Stephen J.","VIA Rail Canada Inc.","Govenor In Council Appointments","Mallory, Stephen","Mallory, Stephen","n",
"McElveny, Derek V.","Parole Board of Canada","Govenor In Council Appointments","McElveny, Derek","McElveny, Derek","n",
"McNamara, Michael F.","Public Service Labour Relations and Employment Board","Govenor In Council Appointments","McNamara, Michael","McNamara, Michael","n",
"McNeil, Christopher J.","Veterans Review and Appeal Board","Govenor In Council Appointments","McNeil, Christopher","McNeil, Christopher","n",
"McQueen, Mark R.","Toronto Port Authority,æWindsor-Detroit Bridge Authority","Govenor In Council Appointments","McQueen, Mark","McQueen, Mark","n",
"Morrison, John H.","Veterans Review and Appeal Board","Govenor In Council Appointments","Morrison, John","Morrison, John","n",
"Mullan, Brian J.","Parole Board of Canada","Govenor In Council Appointments","Mullan, Brian","Mullan, Brian","n",
"Mungovan, David J.T.","Immigration and Refugee Board","Govenor In Council Appointments","Mungovan, David","Mungovan, David","n",
"Nettie, Scott W.","Parole Board of Canada","Govenor In Council Appointments","Nettie, Scott","Nettie, Scott","n",
"O'Dea, Niall R.","Permanent Engineering Board","Govenor In Council Appointments","O'Dea, Niall","O'Dea, Niall","n",
"Obermeyer, Kevin G.","Pacific Pilotage Authority","Govenor In Council Appointments","Obermeyer, Kevin","Obermeyer, Kevin","n",
"Parrent, Damian J.","Parole Board of Canada","Govenor In Council Appointments","Parrent, Damian","Parrent, Damian","n",
"Paulson, Robert W.","Royal Canadian Mounted Police","Govenor In Council Appointments","Paulson, Robert","Paulson, Robert","n",
"Pennycook, Carol D.","PPP Canada Inc.","Govenor In Council Appointments","Pennycook, Carol","Pennycook, Carol","n",
"Poirier, Robert D.","Toronto Port Authority","Govenor In Council Appointments","Poirier, Robert","Poirier, Robert","n",
"Polowek, Kim H.","Parole Board of Canada","Govenor In Council Appointments","Polowek, Kim","Polowek, Kim","n",
"Raymond, Richard A.","Standards Council of Canada","Govenor In Council Appointments","Raymond, Richard","Raymond, Richard","n",
"Ross, William C.","Royal Canadian Mint","Govenor In Council Appointments","Ross, William","Ross, William","n",
"Sandala, George M.","Windsor Port Authority","Govenor In Council Appointments","Sandala, George","Sandala, George","n",
"Sanford, Mike W.","Parole Board of Canada","Govenor In Council Appointments","Sanford, Mike","Sanford, Mike","n",
"Shea, Goldie M.","Parole Board of Canada","Govenor In Council Appointments","Shea, Goldie","Shea, Goldie","n",
"Siemens, Raymond G.","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Siemens, Raymond","Siemens, Raymond","n",
"Silbernagel, Harvey A.","Parole Board of Canada","Govenor In Council Appointments","Silbernagel, Harvey","Silbernagel, Harvey","n",
"Slade, Harry A.","Specific Claims Tribunal","Govenor In Council Appointments","Slade, Harry","Slade, Harry","n",
"Stoney, Robert M.","Parole Board of Canada","Govenor In Council Appointments","Stoney, Robert","Stoney, Robert","n",
"Summerville, Tracy L.","Social Sciences and Humanities Research Council","Govenor In Council Appointments","Summerville, Tracy","Summerville, Tracy","n",
"Vincent, Robert G.","Payments in lieu of Taxes Dispute Advisory Panel","Govenor In Council Appointments","Vincent, Robert","Vincent, Robert","n",
"Wesolowski, Frederick N.","Parole Board of Canada","Govenor In Council Appointments","Wesolowski, Frederick","Wesolowski, Frederick","n",
"Wheatley, William M.","VIA Rail Canada Inc.","Govenor In Council Appointments","Wheatley, William","Wheatley, William","n",
"KPMG LLP (Calgary)","Canada Development Investment Corporation","Govenor In Council Appointments","KPMG LLP","KPMG LLP","n",
"KPMG LLP (Ottawa)","Canada Development Investment Corporation,Canadian Egg Marketing Agency,æPPP Canada Inc.","Govenor In Council Appointments","KPMG LLP","KPMG LLP","n",
"KPMG LLP (Toronto)","Canada Post Corporation","Govenor In Council Appointments","KPMG LLP","KPMG LLP","n",
"Deloitte LLP (Ottawa)","Bank of Canada","Govenor In Council Appointments","Deloitte LLP","Deloitte LLP","n",
"Scott, Wesley (Wes)","Bank of Canada","Govenor In Council Appointments","Scott, Wesley","Scott, Wesley","n",
"Stoneman, J.S. (Jim)","Atlantic Pilotage Authority","Govenor In Council Appointments","Stoneman, Jim","Stoneman, Jim","n",
"Acheson, Jeannette F.","Canadian Museum for Human Rights","Govenor In Council Appointments","Acheson, Jeannette","Acheson, Jeannette","n",
"Alway, Richard M.","Historic Sites and Monuments Board of Canada","Govenor In Council Appointments","Alway, Richard","Alway, Richard","n",
"Anthony, Edward F.","Atlantic Pilotage Authority","Govenor In Council Appointments","Anthony, Edward","Anthony, Edward","n",
"Barnes, Robert L.","Competition Tribunal","Govenor In Council Appointments","Barnes, Robert","Barnes, Robert","n",
"Benoit, Allan D.","National Gallery of Canada","Govenor In Council Appointments","Benoit, Allan","Benoit, Allan","n",
"Blair, Robert A.","Copyright Board","Govenor In Council Appointments","Blair, Robert","Blair, Robert","n",
"Bobkowicz, Andrea T.","Canadian Museum of History","Govenor In Council Appointments","Bobkowicz, Andrea","Bobkowicz, Andrea","n",
"Boryskavich, Krista L.","Freshwater Fish Marketing Corporation","Govenor In Council Appointments","Boryskavich, Krista","Boryskavich, Krista","n",
"Bos, Henricus M.","Canadian Dairy Commission","Govenor In Council Appointments","Bos, Henricus","Bos, Henricus","n",
"Bosveld, Edward J.","Immigration and Refugee Board","Govenor In Council Appointments","Bosveld, Edward","Bosveld, Edward","n",
"Bozak, Kimberley M.","National Arts Centre Corporation","Govenor In Council Appointments","Bozak, Kimberley","Bozak, Kimberley","n",
"Brooks, Robert L.","Canada Pension Plan Investment Board","Govenor In Council Appointments","Brooks, Robert","Brooks, Robert","n",
"Broomfield Letemplier, Hilda J.","National Aboriginal Economic Development Board","Govenor In Council Appointments","Broomfield Letemplier, Hilda","Broomfield Letemplier, Hilda","n",
"Chabot, Steven W.","Military Police Complaints Commission","Govenor In Council Appointments","Chabot, Steven","Chabot, Steven","n",
"Clarkson, John A.","Canadian Transportation Accident Investigation and Safety Board","Govenor In Council Appointments","Clarkson, John","Clarkson, John","n",
"Cournoyea, Nellie J.","Canadian High Arctic Research Station","Govenor In Council Appointments","Cournoyea, Nellie","Cournoyea, Nellie","n",
"Crampton, Paul S.","Competition Tribunal","Govenor In Council Appointments","Crampton, Paul","Crampton, Paul","n",
"Crowhurst, Timothy J.","Immigration and Refugee Board","Govenor In Council Appointments","Crowhurst, Timothy","Crowhurst, Timothy","n",
"Cryer, Thomas W.","Canada Post Corporation","Govenor In Council Appointments","Cryer, Thomas","Cryer, Thomas","n",
"Davies, Philip H.","National Energy Board","Govenor In Council Appointments","Davies, Philip","Davies, Philip","n",
"Delisle, Margaret F.","National Battlefields Commission","Govenor In Council Appointments","Delisle, Margaret","Delisle, Margaret","n",
"Dolhai, George G.","Office of the Director of Public Prosecutions","Govenor In Council Appointments","Dolhai, George","Dolhai, George","n",
"Dolin, Benjamin R.","Immigration and Refugee Board","Govenor In Council Appointments","Dolin, Benjamin","Dolin, Benjamin","n",
"Donahue, Chantelle A.","National Farm Products Council","Govenor In Council Appointments","Donahue, Chantelle","Donahue, Chantelle","n",
"Emerson, David L.","Asia-Pacific Foundation of Canada","Govenor In Council Appointments","Emerson, David","Emerson, David","n",
"Fast, Russell J.","Freshwater Fish Marketing Corporation","Govenor In Council Appointments","Fast, Russell","Fast, Russell","n",
"Favreau, Leonard D.","Immigration and Refugee Board","Govenor In Council Appointments","Favreau, Leonard","Favreau, Leonard","n",
"Fenske, Allan F.","Military Grievances External Review Committee","Govenor In Council Appointments","Fenske, Allan","Fenske, Allan","n",
"Fiorino, Pasquale A.","Immigration and Refugee Board","Govenor In Council Appointments","Fiorino, Pasquale","Fiorino, Pasquale","n",
"Fitzpatrick, Gerard J.","Canada Revenue Agency","Govenor In Council Appointments","Fitzpatrick, Gerard","Fitzpatrick, Gerard","n",
"Forbes, Cathryn L.","Immigration and Refugee Board","Govenor In Council Appointments","Forbes, Cathryn","Forbes, Cathryn","n",
"Gannicott, Robert A.","Canadian High Arctic Research Station","Govenor In Council Appointments","Gannicott, Robert","Gannicott, Robert","n",
"Garfield, Matthew D.","Canadian Human Rights Tribunal","Govenor In Council Appointments","Garfield, Matthew","Garfield, Matthew","n",
"Goldberg, Michael A.","Canada Pension Plan Investment Board","Govenor In Council Appointments","Goldberg, Michael","Goldberg, Michael","n",
"Goldstein, David F.","Canadian Tourism Commission","Govenor In Council Appointments","Goldstein, David","Goldstein, David","n",
"Goluch, Robert Z.","Competition Tribunal","Govenor In Council Appointments","Goluch, Robert","Goluch, Robert","n",
"Guitton, Maurice M.","National Research Council of Canada","Govenor In Council Appointments","Guitton, Maurice","Guitton, Maurice","n",
"Halldorson, Norman G.","Canada Revenue Agency","Govenor In Council Appointments","Halldorson, Norman","Halldorson, Norman","n",
"Hannan, Michael M.","Canadian Tourism Commission","Govenor In Council Appointments","Hannan, Michael","Hannan, Michael","n",
"Hawkrigg, Melvin M.","Hamilton Port Authority","Govenor In Council Appointments","Hawkrigg, Melvin","Hawkrigg, Melvin","n",
"Henderson, David L.","Halifax Port Authority","Govenor In Council Appointments","Henderson, David","Henderson, David","n",
"Henley, Stephen J.","Canadian Museum of Nature","Govenor In Council Appointments","Henley, Stephen","Henley, Stephen","n",
"Hill, Kimberley G.","National Farm Products Council","Govenor In Council Appointments","Hill, Kimberley","Hill, Kimberley","n",
"Hopkins, Nancy E.","Canada Pension Plan Investment Board","Govenor In Council Appointments","Hopkins, Nancy","Hopkins, Nancy","n",
"Hungerford, George W.","North Pacific Anadromous Fish Commission","Govenor In Council Appointments","Hungerford, George","Hungerford, George","n",
"Hyndman, Douglas M.","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Hyndman, Douglas","Hyndman, Douglas","n",
"Ivany, Raymond E.","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Ivany, Raymond","Ivany, Raymond","n",
"James, William R.","Bankruptcy","Govenor In Council Appointments","James, William","James, William","n",
"Jayas, Digvir S.","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Jayas, Digvir","Jayas, Digvir","n",
"Kalman, Harold D.","Historic Sites and Monuments Board of Canada","Govenor In Council Appointments","Kalman, Harold","Kalman, Harold","n",
"Kelly, Robert P.","Canada Mortgage and Housing Corporation","Govenor In Council Appointments","Kelly, Robert","Kelly, Robert","n",
"Laforge, Jacques M.","Canadian Dairy Commission","Govenor In Council Appointments","Laforge, Jacques","Laforge, Jacques","n",
"Leach, Stephen A.","Canadian International Trade Tribunal","Govenor In Council Appointments","Leach, Stephen","Leach, Stephen","n",
"Lessard, Michel M.","Montréal Port Authority","Govenor In Council Appointments","Lessard, Michel","Lessard, Michel","n",1
"Lewis, Leanne M.","Canadian Centre on Substance Abuse","Govenor In Council Appointments","Lewis, Leanne","Lewis, Leanne","n",
"Lochnan, Katharine A.","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Lochnan, Katharine","Lochnan, Katharine","n",
"MacAulay, Philip J.","Immigration and Refugee Board","Govenor In Council Appointments","MacAulay, Philip","MacAulay, Philip","n",
"MacDonald, Brian L.","Historic Sites and Monuments Board of Canada","Govenor In Council Appointments","MacDonald, Brian","MacDonald, Brian","n",
"MacDonald, Christopher P.","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","MacDonald, Christopher","MacDonald, Christopher","n",
"MacDonald, Rodney J.","Canada-Nova Scotia Offshore Petroleum Board","Govenor In Council Appointments","MacDonald, Rodney","MacDonald, Rodney","n",
"MacIntosh, Wayne B.","Canada Lands Company Limited","Govenor In Council Appointments","MacIntosh, Wayne","MacIntosh, Wayne","n",
"MacLeod, Kevin S.","Advisory Committee on Vice-Regal Appointments","Govenor In Council Appointments","MacLeod, Kevin","MacLeod, Kevin","n",
"Mahaffy, Douglas W.","Canada Pension Plan Investment Board","Govenor In Council Appointments","Mahaffy, Douglas","Mahaffy, Douglas","n",
"Manning, Robert M.","Canada Revenue Agency","Govenor In Council Appointments","Manning, Robert","Manning, Robert","n",
"Matthews, Siän M.","Canada Post Corporation","Govenor In Council Appointments","Matthews, Siän","Matthews, Siän","n",
"McBean, David E.","Immigration and Refugee Board","Govenor In Council Appointments","McBean, David","McBean, David","n",
"McCarthy, Emily K.","Office of the Information Commissioner","Govenor In Council Appointments","McCarthy, Emily","McCarthy, Emily","n",
"McCarthy, Todd J.","Canada Revenue Agency","Govenor In Council Appointments","McCarthy, Todd","McCarthy, Todd","n",
"McCulloch, Robert G.","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","McCulloch, Robert","McCulloch, Robert","n",
"McDougall, John R.","National Research Council of Canada","Govenor In Council Appointments","McDougall, John","McDougall, John","n",
"McFetridge, Donald G.","Competition Tribunal","Govenor In Council Appointments","McFetridge, Donald","McFetridge, Donald","n",
"McIlroy, James P.","Internal Trade Agreement: Dispute Resolution Roster of Panellists","Govenor In Council Appointments","McIlroy, James","McIlroy, James","n",
"McKane, James A.","Great Lakes Fishery Commission","Govenor In Council Appointments","McKane, James","McKane, James","n",
"McPherson, Arran A.","International Council for the Exploration of the Sea","Govenor In Council Appointments","McPherson, Arran","McPherson, Arran","n",
"Miller, James R.","Historic Sites and Monuments Board of Canada","Govenor In Council Appointments","Miller, James","Miller, James","n",
"Minich, Edward A.","Hamilton Port Authority","Govenor In Council Appointments","Minich, Edward","Minich, Edward","n",
"Mitchell, Brian R.","Canadian Broadcasting Corporation","Govenor In Council Appointments","Mitchell, Brian","Mitchell, Brian","n",
"Molnar, Candice J.","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Molnar, Candice","Molnar, Candice","n",
"Montgomery, Keith C.","Competition Tribunal","Govenor In Council Appointments","Montgomery, Keith","Montgomery, Keith","n",
"Mooney, Stephen T.","National Research Council of Canada","Govenor In Council Appointments","Mooney, Stephen","Mooney, Stephen","n",
"Morris, Sandy J.","Immigration and Refugee Board","Govenor In Council Appointments","Morris, Sandy","Morris, Sandy","n",
"Murray, Larry E.","Independent Review Panel for Defence Acquisition","Govenor In Council Appointments","Murray, Larry","Murray, Larry","n",
"Muzyka, Daniel F.","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Muzyka, Daniel","Muzyka, Daniel","n",
"O'Brien, Gail B.","National Arts Centre Corporation","Govenor In Council Appointments","O'Brien, Gail","O'Brien, Gail","n",
"Ornstein, Amy E.","Canadian Institutes of Health Research","Govenor In Council Appointments","Ornstein, Amy","Ornstein, Amy","n",
"Pankratz, Lisa M.","Canadian Museum for Human Rights","Govenor In Council Appointments","Pankratz, Lisa","Pankratz, Lisa","n",
"Pelley, Walter M.","Marine Atlantic Inc.","Govenor In Council Appointments","Pelley, Walter","Pelley, Walter","n",
"Pitfield, Robert H.","Business Development Bank of Canada","Govenor In Council Appointments","Pitfield, Robert","Pitfield, Robert","n",
"Plourde, André G.","Canada Mortgage and Housing Corporation","Govenor In Council Appointments","Plourde, André","Plourde, André","n",1
"Poloz, Stephen S.","Bank of Canada,æCanada Deposit Insurance Corporation,æInternational Monetary Fund","Govenor In Council Appointments","Poloz, Stephen","Poloz, Stephen","n",
"Ravelli, Ross K.","Farm Credit Canada","Govenor In Council Appointments","Ravelli, Ross","Ravelli, Ross","n",
"Saunders, Brian J.","Office of the Director of Public Prosecutions","Govenor In Council Appointments","Saunders, Brian","Saunders, Brian","n",
"Schwartz, Lawrence P.","Competition Tribunal","Govenor In Council Appointments","Schwartz, Lawrence","Schwartz, Lawrence","n",
"Scichilone, Enrico A.","National Arts Centre Corporation","Govenor In Council Appointments","Scichilone, Enrico","Scichilone, Enrico","n",
"Sheffield, William H.","Canada Post Corporation","Govenor In Council Appointments","Sheffield, William","Sheffield, William","n",
"Shepherd, Karen E.","Office of the Commissioner of Lobbying","Govenor In Council Appointments","Shepherd, Karen","Shepherd, Karen","n",
"Siddall, Evan W.","Canada Mortgage and Housing Corporation","Govenor In Council Appointments","Siddall, Evan","Siddall, Evan","n",
"Simpson, Stephen B.","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Simpson, Stephen","Simpson, Stephen","n",
"Singhmar, Prem P.","Canada Foundation for Innovation","Govenor In Council Appointments","Singhmar, Prem","Singhmar, Prem","n",
"Snutch, Terrance P.","Canadian Institutes of Health Research","Govenor In Council Appointments","Snutch, Terrance","Snutch, Terrance","n",
"Spivack, Julius B.","Laurentian Pilotage Authority","Govenor In Council Appointments","Spivack, Julius","Spivack, Julius","n",
"Stewart, Sherry H.","Canadian Centre on Substance Abuse","Govenor In Council Appointments","Stewart, Sherry","Stewart, Sherry","n",
